slug	name	priorityRank	graph_version	v23	zones_geo	lots_geo	signaux	citations_pct	focus30
sainte-anne-des-monts	Sainte-Anne-des-Monts	1057	2.3	1	0	nd	3	100	0
saint-alphonse	Saint-Alphonse	1058	2.3	1	nd	nd	2	100	0
saint-simeon-bonaventure	Saint-Siméon	1059	2.3	1	0	0	2	100	0
bonaventure	Bonaventure	1060	2.3	1	0	2932	9	56	0
port-cartier	Port-Cartier	1061	2.3	1	0	nd	10	90	0
saint-elzear-bonaventure	Saint-Elzéar	1062	2.3	1	0	0	2	100	0
new-carlisle	New Carlisle	1063	2.3	1	0	nd	4	100	0
la-martre	La Martre	1064	2.3	1	0	180	4	100	0
paspebiac	Paspébiac	1065	2.3	1	0	nd	6	100	0
marsoui	Marsoui	1066	2.3	1	0	nd	2	100	0
hope	Hope	1067	2.3	1	0	315	3	67	0
hope-town	Hope Town	1068	2.3	1	0	877	3	100	0
saint-godefroi	Saint-Godefroi	1069	2.3	1	0	nd	0	0	0
riviere-a-claude	Rivière-à-Claude	1070	2.3	1	0	nd	1	100	0
shigawake	Shigawake	1071	2.3	1	0	nd	0	0	0
mont-saint-pierre	Mont-Saint-Pierre	1072	2.3	1	0	nd	1	100	0
port-daniel-gascons	Port-Daniel-Gascons	1073	2.3	1	0	nd	5	100	0
murdochville	Murdochville	1074	2.3	1	0	nd	6	100	0
saint-maxime-du-mont-louis	Saint-Maxime-du-Mont-Louis	1075	2.3	1	0	nd	0	0	0
chandler	Chandler	1076	2.3	1	0	nd	7	100	0
sainte-madeleine-de-la-riviere-madeleine	Sainte-Madeleine-de-la-Rivière-Madeleine	1077	2.3	1	0	nd	0	0	0
grande-vallee	Grande-Vallée	1078	2.3	1	0	1059	5	0	0
grande-riviere	Grande-Rivière	1079	2.3	1	0	2718	5	60	0
petite-vallee	Petite-Vallée	1080	none	0	0	nd	nd	nd	0
sainte-therese-de-gaspe	Sainte-Thérèse-de-Gaspé	1081	2.3	1	nd	nd	0	0	0
cloridorme	Cloridorme	1082	2.3	1	0	749	0	0	0
